source_excel_row,brand,inferred_brand_method,tsw_supplier_sku,manufacturer_part_number,Categaory,prod,countryoforigin,tariffcd,eccnclasscd,Prod Description,Stocking Unit,Selling Unit,Selling_Conv,weight,Length,Width,Height,Pack Qty,BOX Qty,CASE Qty,CTN Qty,PLT Qty,All_Barcodes,UPC_List
4666,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050102,050102,AUTOMATIC TT PARTS,TTT050102,US,8205595560,,ROLLER SPACER,EACH,EACH,1,0.002,0.8,0.8,0.25,,,,,,,
4667,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050103,050103,AUTOMATIC TT PARTS,TTT050103,US,8205595560,,HANDLE SLEEVE BUSHING,EACH,EACH,1,0.005,1,1,0.5,,,,,,,
4668,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050105,050105,AUTOMATIC TT PARTS,TTT050105,US,8205595560,,ROLLER WASHER,EACH,EACH,1,0.002,0.75,0.75,0.25,,,,,,,
4669,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050108,050108,AUTOMATIC TT PARTS,TTT050108,US,8205595560,,TRACKING ROLLER,EACH,EACH,1,0.032,0.5,0.5,0.5,,,,,,,
4670,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050109,050109,AUTOMATIC TT PARTS,TTT050109,US,8205595560,,ROLLER ARM,EACH,EACH,1,0.0065,0.75,0.5,0.25,,,,,,,
4671,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050110,050110,AUTOMATIC TT PARTS,TTT050110,US,8205595560,,BEARING MOUNT RELEASE PLATE,EACH,EACH,1,0.001,0.85,0.25,0.25,,,,,,,
4672,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050113,050113,AUTOMATIC TT PARTS,TTT050113,,,,CUTTER WIRE,EACH,EACH,1,0.001,,,,,,,,,,
4673,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050117,050117,AUTOMATIC TT PARTS,TTT050117,,,,SHAFT LOCKING SCREW,EACH,EACH,1,0.002,,,,,,,,,,
4674,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050121,050121,AUTOMATIC TT PARTS,TTT050121,,,,ROLLER HOUSING PIN,EACH,EACH,1,0.009,,,,,,,,,,
4675,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050123,050123,AUTOMATIC TT PARTS,TTT050123,,,,PAWL AND BRACKET ASSEMBLY,EACH,EACH,1,0.17,,,,,,,,,,
4676,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050125,050125,AUTOMATIC TT PARTS,TTT050125,US,8205595560,,PAWL,EACH,EACH,1,0.002,0.5,0.5,0.25,,,,,,,
4677,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050126,050126,AUTOMATIC TT PARTS,TTT050126,US,8205595560,,SCREW 6.52X5.09 TAPETECH,EACH,EACH,1,0.001,0.2,0.1,0.1,,,,,,,
4678,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050128,050128,AUTOMATIC TT PARTS,TTT050128,US,8205595560,,SIDE PLATE AND DOOR ASSEMBLY,EACH,EACH,1,0.446,10.9,7.7,0.5,,,,,,,
