sku,name,brand,dtb_price,map_price,competitor_count,site_count,market_low,market_high,market_mean,market_median,market_spread_pct,dtb_vs_market_median,dtb_vs_market_median_pct,market_position,map_floor_status,lowest_competitor,lowest_competitor_url
CFB4-8,"Door - 8""",Columbia Tools,46.95,,0,0,,,,,,,,no_market_data,no_map,,
CFB5B,Cone Ball,Columbia Tools,16.00,,0,0,,,,,,,,no_market_data,no_map,,
CFB6,Mud Supply Valve Unit,Columbia Tools,29.00,,1,1,32.18,32.18,32.18,32.18,0.00,-3.18,-9.88,single_source_only,no_map,All-Wall,https://www.all-wall.com/CFB6-Columbia-Angle-Box-Mud-Supply-Valve-Unit-5545
CFB7-7,"Door Gasket - 7""",Columbia Tools,28.50,,1,1,45.16,45.16,45.16,45.16,0.00,-16.66,-36.89,single_source_only,no_map,All-Wall,https://www.all-wall.com/Columbia-7-inch-Angle-Box-Gasket
CFB7-8,"Door Gasket - 8""",Columbia Tools,31.95,,0,0,,,,,,,,no_market_data,no_map,,
CFB8,Box Mount,Columbia Tools,44.00,,1,1,52.72,52.72,52.72,52.72,0.00,-8.72,-16.54,single_source_only,no_map,All-Wall,https://www.all-wall.com/CFB8-Columbia-Angle-Box-Handle-Mount-Casting-5549
CFLT,Columbia Billet Mud Applicator - Flat,Columbia Tools,91.93,91.93,1,1,91.93,91.93,91.93,91.93,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-4-flat-applicator-head/
CHXL,Columbia One Handle - Long Extendable 4'-8',Columbia Tools,173.04,173.04,0,0,,,,,,,,no_market_data,at_or_above_map,,
CLT24,"Columbia Cam Lock Tube - 24""",Columbia Tools,270.95,257.40,0,0,,,,,,,,no_market_data,at_or_above_map,,
CLT32,"Columbia Cam Lock Tube - 32""",Columbia Tools,279.72,268.21,1,1,268.21,268.21,268.21,268.21,0.00,11.51,4.29,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-32-cam-lock-compound-mud-tube/
CLT42,"Columbia Cam Lock Tube - 42""",Columbia Tools,297.33,280.11,1,1,280.11,280.11,280.11,280.11,0.00,17.22,6.15,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-42-cam-lock-compound-mud-tube/
CLT55,"Columbia Cam Lock Tube - 55""",Columbia Tools,307.89,278.10,1,1,278.10,278.10,278.10,278.10,0.00,29.79,10.71,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-55-cam-lock-compound-mud-tube/
CMH,Columbia Closet Monster Handle,Columbia Tools,119.76,113.56,3,3,113.56,113.99,113.70,113.56,0.38,6.20,5.46,above_market_median,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-closet-monster-18-flat-box-handle/
CMT24,"Columbia Compound Tube - 24""",Columbia Tools,197.91,197.91,2,2,197.91,197.99,197.95,197.95,0.04,-0.04,-0.02,market_aligned,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-24-drywall-corner-finishing-compound-mud-tube/
CMT32,"Columbia Compound Tube - 32""",Columbia Tools,208.73,208.73,2,2,208.73,208.99,208.86,208.86,0.12,-0.13,-0.06,market_aligned,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-32-drywall-corner-finishing-compound-mud-tube/
CMT42,"Columbia Compound Tube - 42""",Columbia Tools,221.71,221.71,2,2,221.71,221.99,221.85,221.85,0.13,-0.14,-0.06,market_aligned,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-42-drywall-corner-finishing-compound-mud-tube/
CMT55,"Columbia Compound Tube - 55""",Columbia Tools,232.52,232.52,1,1,232.99,232.99,232.99,232.99,0.00,-0.47,-0.20,single_source_only,at_or_above_map,All-Wall,https://www.all-wall.com/Columbia-55-Compound-Mud-Tube
COBCR,Columbia Outside Corner Roller - Standard,Columbia Tools,86.52,86.52,1,1,86.52,86.52,86.52,86.52,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-taping-tools-standard-outside-90-corner-bead-roller/
COBCRE,Columbia Outside Corner Roller - European,Columbia Tools,1.00,,0,0,,,,,,,,no_market_data,no_map,,
COBCRW,Columbia Outside Corner Roller - Wide,Columbia Tools,86.52,86.52,1,1,86.52,86.52,86.52,86.52,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-taping-tools-superwide-outside-90-corner-bead-roller/
CPFGN,Columbia Powerfill 5 Gallon Taper Gooseneck Fill Tube,Columbia Tools,275.00,185.00,0,0,,,,,,,,no_market_data,at_or_above_map,,
CPFP,Columbia PowerFill 3.5 Pro Series Cordless Loading Pump,Columbia Tools,1473.00,1249.00,0,0,,,,,,,,no_market_data,at_or_above_map,,
CR,Columbia Corner Roller,Columbia Tools,167.63,167.63,3,2,30.81,167.63,120.40,162.75,444.08,4.88,3.00,market_aligned,at_or_above_map,All-Wall,https://www.all-wall.com/Columbia-MudRoller-2KCMR
CR-3,Bearing Sleeve,Columbia Tools,19.99,,1,1,9.45,9.45,9.45,9.45,0.00,10.54,111.53,single_source_only,no_map,All-Wall,https://www.all-wall.com/CR3-Columbia-Corner-Roller-Bearing-Sleeve-5563
