dtb_sku,dtb_name,dtb_brand,dtb_price,dtb_map_price,competitor_site,competitor_title,competitor_brand,competitor_sku,competitor_mpn,competitor_gtin,competitor_url,competitor_price,competitor_regular_price,competitor_sale_price,currency,availability,variant,match_method,match_score,price_delta,price_delta_pct
ICA4-1,"Columbia Billet Mud Applicator - Inside Corner - 4 Wheels - 1""",Columbia Tools,85.44,85.44,Al's Taping Tools,Columbia Inside Corner Applicator 4 Wheels,Columbia Taping Tools,ICA4-1,,,https://www.alstapingtools.com/columbia-inside-corner-applicator-4-wheels/,85.44,85.44,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
ICATW,Columbia Billet Mud Applicator - Two-Way Internal Corner - 4 Wheels,Columbia Tools,116.80,116.80,Al's Taping Tools,Columbia Inside 90 Applicator with Wheels,Columbia Taping Tools,ICATW,,,https://www.alstapingtools.com/columbia-inside-90-applicator-with-wheels/,116.80,116.80,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
OA90,Columbia UHMW Mud Applicator - Outside 90°,Columbia Tools,98.00,91.93,Al's Taping Tools,Columbia Tools Drywall Outside Corner Bead Mud Applicator,Columbia Taping Tools,OA90,,,https://www.alstapingtools.com/columbia-tools-drywall-outside-corner-bead-mud-applicator/,91.93,91.93,,USD,,,competitor_sku_to_mpn_exact,98.0,-6.07,-6.19
PC1H,Columbia Predator One Handle - 4' Fixed,Columbia Tools,95.79,95.79,Al's Taping Tools,Columbia Predator One Carbon Fiber Handle,Columbia Taping Tools,PC1H,,,https://www.alstapingtools.com/columbia-predator-one-carbon-fiber-handle/,95.79,95.79,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
PC1HEXT,Columbia Predator One Handle - Extendable 3'-5',Columbia Tools,164.85,160.27,Al's Taping Tools,Columbia Predator One Extendable Carbon Fiber Handle (3-5'),Columbia Taping Tools,PC1HEXT,,,https://www.alstapingtools.com/columbia-predator-one-extendable-carbon-fiber-handle-3-5/,160.27,160.27,,USD,,,competitor_sku_to_mpn_exact,98.0,-4.58,-2.78
PHMP,Columbia Predator Mud Pump,Columbia Tools,496.42,496.42,Al's Taping Tools,Columbia Predator Mud Pump,Columbia Taping Tools,PHMP,,,https://www.alstapingtools.com/columbia-predator-mud-pump/,496.42,496.42,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
SAT,Columbia Semi Automatic Taper,Columbia Tools,243.34,243.34,Al's Taping Tools,Columbia Semi Auto Taper Drywall Taping Tool,Columbia Taping Tools,SAT,,,https://www.alstapingtools.com/columbia-semi-auto-taper-drywall-taping-tool/,243.34,243.34,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
STAPER,Columbia Automatic Taper - Sawed Off 39 in.,Columbia Tools,1683.00,1649.29,Al's Taping Tools,"Columbia ""Sawed Off"" Mini Automatic Taper",Columbia Taping Tools,STAPER,,,https://www.alstapingtools.com/columbia-sawed-off-mini-automatic-taper/,1649.29,1649.29,,USD,,,sku_exact,97.0,-33.71,-2.00
TAPER,Columbia Automatic Taper - Standard 53 in.,Columbia Tools,1683.00,1649.29,Al's Taping Tools,Columbia Taper Cutter Block Assembly,Columbia Taping Tools,CTA-41,,,https://www.alstapingtools.com/columbia-taper-cutter-block-assembly/,115.76,115.76,,USD,,,brand_name_fuzzy,96.0,-1567.24,-93.12
TAPER,Columbia Automatic Taper - Standard 53 in.,Columbia Tools,1683.00,1649.29,Al's Taping Tools,Columbia One Sawed Off Predator Taper Body,Columbia Taping Tools,C1SPBODY,,,https://www.alstapingtools.com/columbia-one-sawed-off-predator-taper-body/,389.55,389.55,,USD,,,brand_name_fuzzy,96.0,-1293.45,-76.85
TAPER,Columbia Automatic Taper - Standard 53 in.,Columbia Tools,1683.00,1649.29,Al's Taping Tools,Columbia One Tall Boy Predator Taper Body,Columbia Taping Tools,C1TBBODY,,,https://www.alstapingtools.com/columbia-one-tall-boy-predator-taper-body/,519.02,519.02,,USD,,,brand_name_fuzzy,96.0,-1163.98,-69.16
TAPER,Columbia Automatic Taper - Standard 53 in.,Columbia Tools,1683.00,1649.29,Al's Taping Tools,Columbia Automatic Taper,Columbia Taping Tools,TAPER,,,https://www.alstapingtools.com/columbia-automatic-taper/,1649.29,1649.29,,USD,,,sku_exact,97.0,-33.71,-2.00
TAPER,Columbia Automatic Taper - Standard 53 in.,Columbia Tools,1683.00,1649.29,Al's Taping Tools,Columbia PREDATOR Carbon Fiber Automatic Taper,Columbia Taping Tools,PREDATOR,,,https://www.alstapingtools.com/columbia-predator-carbon-fiber-automatic-taper/,1838.55,1838.55,,USD,,,brand_name_fuzzy,96.0,155.55,9.24
TAPER,Columbia Automatic Taper - Standard 53 in.,Columbia Tools,1683.00,1649.29,Al's Taping Tools,"Columbia PREDATOR ""Sawed Off"" Mini Carbon Fiber Automatic Taper",Columbia Taping Tools,SPTAPER,,,https://www.alstapingtools.com/columbia-predator-sawed-off-mini-carbon-fiber-automatic-taper/,1838.55,1838.55,,USD,,,brand_name_fuzzy,96.0,155.55,9.24
TAPER,Columbia Automatic Taper - Standard 53 in.,Columbia Tools,1683.00,1649.29,Al's Taping Tools,"Columbia 10"" and 12"" Full Set w/ Predator Taper Upgrade",Columbia Taping Tools,G10105-2,,,https://www.alstapingtools.com/columbia-10-and-12-full-set-w-predator-taper-upgrade/,3895.00,4100.00,3895.00,USD,,,brand_name_fuzzy,96.0,2212.00,131.43
TBGN,Columbia Gooseneck - Tall Boy,Columbia Tools,146.00,146.00,Al's Taping Tools,Columbia Tall Boy Gooseneck,Columbia Taping Tools,TBGN,,,https://www.alstapingtools.com/columbia-tall-boy-gooseneck/,146.00,146.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
TBMP,Columbia Hot Mud Pump - Tall Boy,Columbia Tools,524.60,492.08,Al's Taping Tools,Columbia Tall Boy Loading Pump,Columbia Taping Tools,TBMP,,,https://www.alstapingtools.com/columbia-tall-boy-loading-pump/,492.08,492.08,,USD,,,competitor_sku_to_mpn_exact,98.0,-32.52,-6.20
4-777,"LEVEL5 Corner Roller Handle - 54""",LEVEL5,92.22,,Al's Taping Tools,Level5 Corner Roller Handle,Level 5,4-777,,,https://www.alstapingtools.com/level5-corner-roller-handle/,45.00,45.00,,USD,,,competitor_sku_to_mpn_exact,98.0,-47.22,-51.20
PT-AICA,Platinum 4 Wheel Inside Angle / Corner Applicator,Platinum Drywall Tools,89.00,,Al's Taping Tools,Platinum 4 Wheel Inside Angle / Corner Applicator,,PT-ICAAL,,,https://www.alstapingtools.com/platinum-4-wheel-inside-angle-corner-applicator/,55.00,89.00,55.00,USD,,,brand_name_fuzzy,100.0,-34.00,-38.20
PT-CF2.5,"Platinum Angle Head Corner Finisher with Wheels - 2.5""",Platinum Drywall Tools,239.00,,Al's Taping Tools,"Platinum Drywall Tools 2.5"" Angle Head Corner Finisher with Wheels",,PT-CF2.5,,,https://www.alstapingtools.com/platinum-drywall-tools-2-5-angle-head-corner-finisher-with-wheels/,145.00,235.00,145.00,USD,,,sku_exact,97.0,-94.00,-39.33
PT-CRE,Platinum Corner Roller - ECO Inside,Platinum Drywall Tools,59.00,,Al's Taping Tools,Platinum Drywall Tools Eco Inside Corner Roller,,PT-CRE,,,https://www.alstapingtools.com/platinum-drywall-tools-eco-inside-corner-roller/,35.00,59.00,35.00,USD,,,sku_exact,97.0,-24.00,-40.68
PT-ICA,Platinum 90° Corner Applicator - Inside,Platinum Drywall Tools,59.00,,Al's Taping Tools,Platinum Drywall Tools Inside 90 Degree Applicator Mud Head,,PT-ICA,,,https://www.alstapingtools.com/platinum-drywall-tools-inside-90-degree-applicator-mud-head/,40.00,59.00,40.00,USD,,,sku_exact,97.0,-19.00,-32.20
