sku,field,before,after,protected_field
CH83TT,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Compound Applicators,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,false
CH83TT,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
CH83TT,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
CH83TT,Meta: _dtb_display_category_key,corner_tools,semi_compound_applicators,false
CH90TT,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Compound Applicators,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,false
CH90TT,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
CH90TT,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
CH90TT,Meta: _dtb_display_category_key,corner_tools,semi_compound_applicators,false
CHXL,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,false
CHXL,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
CHXL,Meta: _dtb_category_key,handles,automatic_taping_tools,false
CHXL,Meta: _dtb_display_category_key,handles,automatic_handles_extensions,false
CHXL,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Handles&amp;schematic=columbia-long-extendable-handle,/schematics?brand=columbia-taping-tools&category=Handles&schematic=columbia-long-extendable-handle,false
CLT24,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Compound Tubes,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,false
CLT24,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
CLT24,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
CLT24,Meta: _dtb_display_category_key,compound_tubes,semi_compound_tubes,false
CLT24,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Compound+Tubes&amp;schematic=columbia-cam-lock-tube,/schematics?brand=columbia-taping-tools&category=Compound+Tubes&schematic=columbia-cam-lock-tube,false
CLT32,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Compound Tubes,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,false
CLT32,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
CLT32,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
CLT32,Meta: _dtb_display_category_key,compound_tubes,semi_compound_tubes,false
CLT32,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Compound+Tubes&amp;schematic=columbia-cam-lock-tube,/schematics?brand=columbia-taping-tools&category=Compound+Tubes&schematic=columbia-cam-lock-tube,false
CLT42,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Compound Tubes,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,false
CLT42,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
CLT42,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
CLT42,Meta: _dtb_display_category_key,compound_tubes,semi_compound_tubes,false
CLT42,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Compound+Tubes&amp;schematic=columbia-cam-lock-tube,/schematics?brand=columbia-taping-tools&category=Compound+Tubes&schematic=columbia-cam-lock-tube,false
CLT55,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Compound Tubes,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,false
CLT55,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
CLT55,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
CLT55,Meta: _dtb_display_category_key,compound_tubes,semi_compound_tubes,false
CLT55,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Compound+Tubes&amp;schematic=columbia-cam-lock-tube,/schematics?brand=columbia-taping-tools&category=Compound+Tubes&schematic=columbia-cam-lock-tube,false
CMH,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,false
CMH,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
CMH,Meta: _dtb_category_key,handles,automatic_taping_tools,false
CMH,Meta: _dtb_display_category_key,handles,automatic_handles_extensions,false
CMH,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Handles&amp;schematic=columbia-closet-monster-flat-box-handle,/schematics?brand=columbia-taping-tools&category=Handles&schematic=columbia-closet-monster-flat-box-handle,false
CMT24,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Compound Tubes,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,false
CMT24,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
CMT24,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
CMT24,Meta: _dtb_display_category_key,compound_tubes,semi_compound_tubes,false
CMT24,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Compound+Tubes&amp;schematic=columbia-compound-tube,/schematics?brand=columbia-taping-tools&category=Compound+Tubes&schematic=columbia-compound-tube,false
CMT32,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Compound Tubes,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,false
CMT32,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
CMT32,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
CMT32,Meta: _dtb_display_category_key,compound_tubes,semi_compound_tubes,false
CMT32,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Compound+Tubes&amp;schematic=columbia-compound-tube,/schematics?brand=columbia-taping-tools&category=Compound+Tubes&schematic=columbia-compound-tube,false
CMT42,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Compound Tubes,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,false
CMT42,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
CMT42,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
CMT42,Meta: _dtb_display_category_key,compound_tubes,semi_compound_tubes,false
CMT42,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Compound+Tubes&amp;schematic=columbia-compound-tube,/schematics?brand=columbia-taping-tools&category=Compound+Tubes&schematic=columbia-compound-tube,false
CMT55,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Compound Tubes,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,false
CMT55,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
CMT55,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
CMT55,Meta: _dtb_display_category_key,compound_tubes,semi_compound_tubes,false
CMT55,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Compound+Tubes&amp;schematic=columbia-compound-tube,/schematics?brand=columbia-taping-tools&category=Compound+Tubes&schematic=columbia-compound-tube,false
