sku,name,type,brand,categories,regular_price,sale_price,effective_price,cogs,map_price,gross_profit,current_gross_margin_pct,regular_gross_margin_pct,current_markup_pct,map_gross_margin_pct,comparison_target_margin_pct,target_margin_price,allowable_cost_at_current_price,cost_gap_vs_target,map_violation
8FFB,"Columbia Flat Finisher Box - 8""",variation,Columbia Tools,(Uncategorized),389.34,,389.34,256.12,389.34,133.22,34.22,34.22,52.01,34.22,30.00,365.89,272.54,-16.42,0
10FFB,"Columbia Flat Finisher Box - 10""",variation,Columbia Tools,(Uncategorized),400.16,,400.16,257.82,400.16,142.34,35.57,35.57,55.21,35.57,30.00,368.32,280.11,-22.29,0
12FFB,"Columbia Flat Finisher Box - 12""",variation,Columbia Tools,(Uncategorized),410.97,,410.97,262.08,410.97,148.89,36.23,36.23,56.81,36.23,30.00,374.40,287.68,-25.60,0
14FFB,"Columbia Flat Finisher Box - 14""",variation,Columbia Tools,(Uncategorized),421.79,,421.79,264.05,421.79,157.74,37.40,37.40,59.74,37.40,30.00,377.22,295.25,-31.20,0
GN,Columbia Gooseneck - Standard,variation,Columbia Tools,(Uncategorized),86.00,,86.00,68.28,,17.72,20.60,20.60,25.95,,30.00,97.55,60.20,8.08,0
TBGN,Columbia Gooseneck - Tall Boy,variation,Columbia Tools,(Uncategorized),146.00,,146.00,99.00,146.00,47.00,32.19,32.19,47.47,32.19,30.00,141.43,102.20,-3.20,0
HMP,Columbia Hot Mud Pump - Standard,variation,Columbia Tools,(Uncategorized),410.97,,410.97,277.45,410.97,133.52,32.49,32.49,48.12,32.49,30.00,396.36,287.68,-10.23,0
TBMP,Columbia Hot Mud Pump - Tall Boy,variation,Columbia Tools,(Uncategorized),524.60,,524.60,367.22,492.08,157.38,30.00,30.00,42.86,25.37,30.00,524.60,367.22,0.00,0
HMP-C,Columbia Hot Mud Pump - CDN,variation,Columbia Tools,(Uncategorized),380.00,,380.00,,,,,,,,30.00,,266.00,,0
MHS,"Columbia Matrix Flat Box Handle - 29""-39""",variation,Columbia Tools,(Uncategorized),375.00,,375.00,221.07,340.67,153.93,41.05,41.05,69.63,35.11,30.00,315.82,262.50,-41.43,0
