Status,DTB Product,DTB SKU,DTB Brand,Our Price,Competitor,Competitor Product,Competitor SKU,Competitor Price,Price Difference,Price Position,Why It Matched,Match Score
Confirmed Match,"8-32 x 5/8"" Truss Slot",FA264,Columbia Tools,$1.00,Wall Tools,Columbia 8-32 x 5/8 Truss Slot (COLM-FA264),FA264,$0.69,-$0.31,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,8-32X 1/4 Half Dog Set,FA258,Columbia Tools,$2.00,Wall Tools,Columbia 8-32 x 1/4 Half Dog Set (COLM-FA258),FA258,$1.48,-$0.52,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"8-32X3/16"" Set Screw",FA249,Columbia Tools,$2.00,Wall Tools,Columbia 8-32 x 3/16 in. Set Screw (COLM-FA249),FA249,$1.48,-$0.52,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Adjuster Spring - 10""",FFB11-10,Columbia Tools,$8.00,All-Wall,"FFB11-10 Columbia Flat Box Adjuster Spring 10""",FFB11-10,$10.05,$2.05,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Adjuster Spring - 12""",FFB11-12,Columbia Tools,$8.00,All-Wall,"COLFFB11-12 Columbia  12"" Flat Box Adjuster Spring",FFB11-12,$10.46,$2.46,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Adjuster Spring - 8""",FFB11-8,Columbia Tools,$8.00,All-Wall,"FFB11-8 Columbia Flat Box Adjuster Spring 8""",FFB11-8,$10.05,$2.05,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Angle Head Adapter,AHA,Columbia Tools,$24.87,Al's Taping Tools,Columbia Angle Head Ball Adapter,AHA,$24.87,$0.00,Same price,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Axel Bushing,FFB5A,Columbia Tools,$3.00,All-Wall,FFB5A Columbia Flat Box Axle Bushing #6114,FFB5A,$3.78,$0.78,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Backing Washer Locator,MP32,Columbia Tools,$18.95,All-Wall,MP32 Columbia Mud Pump Backing Washer Locator #5876,MP32,$2.85,-$16.10,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Bar Retainer Clip,FFB8,Columbia Tools,$2.00,Wall Tools,Columbia Bar Retainer Clip (COLM-FFB8),FFB8,$1.96,-$0.04,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Barrel- Main Body,CT103,Columbia Tools,$114.11,All-Wall,CT103 Columbia Taper Barrel Main Body #5963,CT103,$150.64,$36.53,DTB is lower,SKU or manufacturer part number matched exactly.,100
