DTB Row,DTB SKU,DTB Identifiers,DTB Name,DTB Brand,DTB Regular Price
224,FFB5-7,FFB5-7,"Axle - 7""",Columbia Tools,44.00
225,FFB5-8,FFB5-8,"Axle - 8""",Columbia Tools,44.00
226,FFB5-10,FFB5-10,"Axle - 10""",Columbia Tools,44.00
227,FFB5-12,FFB5-12,"Axle - 12""",Columbia Tools,44.00
228,FFB5-14,FFB5-14,"Axle - 14""",Columbia Tools,44.00
241,HNS8,HNS8,Blade Holder,Columbia Tools,
251,BH9,BH9,Brake Connecting Strap,Columbia Tools,
261,FFB36,FFB36,Box Wheel,Columbia Tools,5.00
264,MH9A,MH9A,Brake Activation Rod,Columbia Tools,24.00
268,MH8,MH8,Brake Rod Bushing,Columbia Tools,8.00
270,HH-BRASS-CONNECTOR,HH-BRASS-CONNECTOR,Brass Connector,Columbia Tools,
277,HH19,HH19,Cap,Columbia Tools,17.00
291,HNS4,HNS4,Door,Columbia Tools,
301,PCLT42,PCLT42,Columbia Predator Camlock Tube,Columbia Tools,368.05
302,PCMT42,PCMT42,"Columbia Predator Compound Tube 42""",Columbia Tools,274.93
307,MH7,MH7,Connecting Link Fork,Columbia Tools,29.00
308,MH5,MH5,Connecting Link Pin,Columbia Tools,5.00
310,MH16,MH16,Connecting Rod Housing,Columbia Tools,8.00
320,CFB4,CFB4,Door,Columbia Tools,
321,HNS15,HNS15,Door Gasket,Columbia Tools,
322,CFB7,CFB7,Door Gasket,Columbia Tools,
323,HNS-DOOR-SPRING,HNS-DOOR-SPRING,Door Spring,Columbia Tools,
343,CT87,CT87,Engraved Cover Plate Cap,Columbia Tools,42.00
358,MH21,MH21,Grip Adjuster Housing,Columbia Tools,21.95
359,MH23,MH23,Grip Adjusting Fastener,Columbia Tools,11.00
360,MH22,MH22,Grip Adjustment Pin,Columbia Tools,11.00
370,MH11,MH11,Handle Grip Bushing,Columbia Tools,6.00
371,AH1,AH1,Head Casting,Columbia Tools,
375,AH1-3,AH1-3,"Head Casting - 3""",Columbia Tools,153.00
381,MH1,MH1,Handle Mount Plate,Columbia Tools,75.00
384,HH8,HH8,Handle Tube,Columbia Tools,45.00
387,FFB39,FFB39,Hex Bolt,Columbia Tools,3.00
391,CT-WAFER-BUSHING,CT-WAFER-BUSHING,Wafer Bushing,Columbia Tools,
392,MH6,MH6,Hinge Pin,Columbia Tools,4.00
396,MH13,MH13,Large Nyliner Bushing,Columbia Tools,5.00
407,MH2,MH2,Matrix Handle Head,Columbia Tools,4.00
409,MH3A,MH3A,Mounting Bracket Stem,Columbia Tools,4.00
421,MP-PISTON-BACKING-WASHER,MP-PISTON-BACKING-WASHER,Piston Backing Washer,Columbia Tools,
429,FFB38,FFB38,Nyliner Bearing,Columbia Tools,2.00
433,MH10,MH10,Octagon,Columbia Tools,36.00
436,MH15,MH15,Pinch Brake Activator,Columbia Tools,22.00
437,MH24,MH24,Pinch Brake Bushing,Columbia Tools,12.75
438,MH18,MH18,Pinch Brake Housing,Columbia Tools,20.00
439,MH19,MH19,Pinch Brake Sleeve,Columbia Tools,28.00
440,MH25,MH25,Pinch Brake Stem,Columbia Tools,14.95
441,CT-INSERT-BUSHING,CT-INSERT-BUSHING,Insert Bushing,Columbia Tools,
442,CT-NYLATRON-CHAIN-ROLLER,CT-NYLATRON-CHAIN-ROLLER,Nylatron Chain Roller,Columbia Tools,
443,MH12,MH12,PinchBrake Spring,Columbia Tools,4.00
454,HNS18,HNS18,Pivot,Columbia Tools,4.00
472,CFB3,CFB3,Side Plate,Columbia Tools,
483,FFB37,FFB37,Rubber for Box Wheel,Columbia Tools,2.00
488,MH20,MH20,Small Nyliner Bushing,Columbia Tools,3.00
492,DS-DURA-III,DS-DURA-III,Dura-III Adjustable,Dura-Stilts,
501,LV5-CORNER-APPLICATOR,LV5-CORNER-APPLICATOR,LEVEL5 Corner Applicator,LEVEL5,
502,LV5-CORNER-HANDLE-APPLICATOR-EXT,LV5-CORNER-HANDLE-APPLICATOR-EXT,LEVEL5 Corner Applicator Handle (Extendable),LEVEL5,
