catalog_sku,catalog_product_name,catalog_product_type,csr_source_rows,csr_sale_price_usd,old_sale_price,new_sale_price,old_regular_price,new_regular_price,status,applied_at
FA202,"1/16 X 1/2"" Cotter Pin",simple,1,1.00,1.00,1.00,1.10,1.10,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA203,"1/16 x 3/4"" Cotter Pin",simple,1,1.00,1.00,1.00,1.10,1.10,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA206,4-40 Hex Nut,simple,1,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA207,4-40 Nyloc Nut,simple,2,2.00,2.50,2.00,2.75,2.20,UPDATED,2026-09-17T09:17:51Z
FA210,"4-40 x 3/16"" Binder Slot",simple,1,1.00,1.00,1.00,1.10,1.10,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA212,"4-40 x 3/16"" Truss Slot",simple,1,1.00,1.00,1.00,1.10,1.10,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA213,"4-40 x 1/4"" Binder Slot",simple,2,1.00,1.00,1.00,1.10,1.10,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA214,"4-40 x 1/4"" Flat Slot",simple,1,1.00,1.00,1.00,1.10,1.10,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA215,"4-40 x 5/16"" Binder Slot",simple,1,1.00,1.95,1.00,2.15,1.10,UPDATED,2026-09-17T09:17:51Z
FA216,4-40 X 3/8” Fillister Slot,simple,1,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA218,"4-40 x 3/8"" Flat Slot",simple,1,1.00,1.00,1.00,1.10,1.10,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA219,"4-40 x 1/2"" Fillister Slot",simple,3,1.00,1.05,1.00,1.16,1.10,UPDATED,2026-09-17T09:17:51Z
FA220,"4-40 x 3/4"" Hex Bolt",simple,2,1.00,1.1,1.00,1.21,1.10,UPDATED,2026-09-17T09:17:51Z
FA224,"1/8"" x 3/8"" Split Pin",simple,1,1.00,1.15,1.00,1.27,1.10,UPDATED,2026-09-17T09:17:51Z
FA225,"1/8"" x 3/8"" Rivet Shoulder Washer",simple,1,2.00,2.1,2.00,2.31,2.20,UPDATED,2026-09-17T09:17:51Z
FA227,"6-32 X 1/4"" Flat Slot",simple,1,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA228,#6 Flat Washer,simple,3,1.00,1.00,1.00,1.10,1.10,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA229,#6 Lock Washer,simple,2,1.00,1.00,1.00,1.10,1.10,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA230,#6 Star Washer,simple,1,1.00,1.00,1.00,1.10,1.10,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA231,"6-32 x 3/8"" Hex Bolt",simple,3,1.00,1.55,1.00,1.71,1.10,UPDATED,2026-09-17T09:17:51Z
FA232,6-32 Hex Nut,simple,2,2.00,2.1,2.00,2.31,2.20,UPDATED,2026-09-17T09:17:51Z
FA233,6-32 Nyloc Nut,simple,2,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA234,6-32 Nyloc Jam Nut,simple,1,2.00,1.85,2.00,2.04,2.20,UPDATED,2026-09-17T09:17:51Z
FA235,"6-32 X 1/8"" Set Screw",simple,1,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA236,"6-32 X 1/8"" Binder Slot",simple,1,1.00,1.00,1.00,1.10,1.10,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA237,"6-32 x 3/16"" Binder Slot",simple,1,1.00,1.00,1.00,1.10,1.10,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA238,"6-32 X 3/16"" Fillister Slot",simple,3,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA239,"6-32 X 1/4"" Binder Slot",simple,3,1.00,1.00,1.00,1.10,1.10,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA241,"6-32 X 3/8"" Binder Slot",simple,4,1.00,1.00,1.00,1.10,1.10,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA243,"6-32 x 3/8"" Flat Slot",simple,1,1.00,1.00,1.00,1.10,1.10,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA244,"6-32 x 1/2"" Pan Slot",simple,1,1.00,1.00,1.00,1.10,1.10,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA245,"6-32 x 1/2"" Fillister Slot",simple,2,1.00,2.15,1.00,2.37,1.10,UPDATED,2026-09-17T09:17:51Z
FA247,"6-32 X 5/8"" Hex Bolt",simple,3,2.00,1.95,2.00,2.15,2.20,UPDATED,2026-09-17T09:17:51Z
FA249,"8-32X3/16"" Set Screw",simple,2,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA252,#8 Star Washer,simple,2,1.00,1.15,1.00,1.27,1.10,UPDATED,2026-09-17T09:17:51Z
FA253,#8 Flat Washer,simple,2,1.00,1.05,1.00,1.16,1.10,UPDATED,2026-09-17T09:17:51Z
FA254,8-32 Nyloc Nut,simple,2,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA256,"8-32 X 3/16"" Pan Slot",simple,3,1.00,2.15,1.00,2.37,1.10,UPDATED,2026-09-17T09:17:51Z
FA257,"8-32 x 1/4"" Fillister Slot",simple,2,1.00,1.00,1.00,1.10,1.10,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA258,8-32X 1/4 Half Dog Set,simple,5,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA259,"FA259 8-32 X 5/16"" Binder Slot",simple,1,1.00,1.00,1.00,1.10,1.10,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA260,"8-32 x 3/8"" Pan Slot",simple,3,1.00,1.00,1.00,1.10,1.10,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA261,"8-32 X 3/8"" Socket Screw",simple,1,2.00,2.75,2.00,3.03,2.20,UPDATED,2026-09-17T09:17:51Z
FA262,"8-32 x 1/2"" Socket",simple,2,2.00,2.95,2.00,3.25,2.20,UPDATED,2026-09-17T09:17:51Z
FA264,"8-32 x 5/8"" Truss Slot",simple,1,1.00,1.00,1.00,1.10,1.10,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA265,"8-32 x 3/4"" Truss Slot",simple,2,1.00,1.00,1.00,1.10,1.10,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA267,"8-32 x 1 1/2"" Pan Slot",simple,1,1.00,1.05,1.00,1.16,1.10,UPDATED,2026-09-17T09:17:51Z
FA268,#10 Flat Washer,simple,2,1.00,2.25,1.00,2.48,1.10,UPDATED,2026-09-17T09:17:51Z
FA270,"#10 x 3/4"" Fender Washer",simple,1,2.00,2.1,2.00,2.31,2.20,UPDATED,2026-09-17T09:17:51Z
FA271,10-24 Nyloc Nut,simple,3,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA272,10-24 Wing Nut,simple,1,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA273,"10-24 x 1"" Hex Bolt",simple,1,2.00,3.25,2.00,3.58,2.20,UPDATED,2026-09-17T09:17:51Z
FA274,"10-24 x 3/8"" Socket",simple,1,2.00,2.75,2.00,3.03,2.20,UPDATED,2026-09-17T09:17:51Z
FA275,"10-24 x 7/8"" Hex Bolt",simple,1,2.00,2.15,2.00,2.37,2.20,UPDATED,2026-09-17T09:17:51Z
FA276,"10-24 x 7/8"" Pan Slot",simple,1,1.00,1.05,1.00,1.16,1.10,UPDATED,2026-09-17T09:17:51Z
FA280,#10 Belleville Washer,simple,3,1.00,1.05,1.00,1.16,1.10,UPDATED,2026-09-17T09:17:51Z
FA286,"1/4"" x 1/2"" Flat Washer",simple,1,1.00,1.00,1.00,1.10,1.10,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA288,"1/4"" X 3/4"" Split Pin",simple,1,2.00,2.36,2.00,2.60,2.20,UPDATED,2026-09-17T09:17:51Z
FA291,1/4-20 Hex Nut,simple,1,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA292,FA292 1/4-20 Nyloc Jam Nut,simple,2,2.00,1.93,2.00,2.12,2.20,UPDATED,2026-09-17T09:17:51Z
FA294,"1/4-20 x 38"" Socket",simple,1,2.00,2.75,2.00,3.03,2.20,UPDATED,2026-09-17T09:17:51Z
FA295,"1/4 x 1/2"" Flathead Socket",simple,1,1.00,1.05,1.00,1.16,1.10,UPDATED,2026-09-17T09:17:51Z
FA296,"1/4 -20 x 1/2"" Hex Bolt",simple,1,1.00,1,1.00,1.10,1.10,UPDATED,2026-09-17T09:17:51Z
FA297,"1/4-20 x 5/8"" Socket",simple,1,2.00,2.75,2.00,3.03,2.20,UPDATED,2026-09-17T09:17:51Z
FA298,"1/4-20 x 7/8"" Flat Socket",simple,1,1.00,1.05,1.00,1.16,1.10,UPDATED,2026-09-17T09:17:51Z
FA299,"1/4-20 x 1 1/2"" Pan Phillips",simple,1,4.00,4.00,4.00,4.40,4.40,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA300,"1/4-20 x 2"" Hex Bolt",simple,1,3.00,3.83,3.00,4.21,3.30,UPDATED,2026-09-17T09:17:51Z
FA301,"1/4-20 x 2 1/4"" Hex Bolt",simple,1,3.00,3.00,3.00,3.30,3.30,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA302,"1/4-28 x 1/4"" Set Screw",simple,1,2.00,2.15,2.00,2.37,2.20,UPDATED,2026-09-17T09:17:51Z
FA303,5-16 Flat Washer,simple,1,3.00,3.00,3.00,3.30,3.30,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA305,"5/16 -18 x 3/4"" Hex Bolt",simple,1,3.00,3.65,3.00,4.02,3.30,UPDATED,2026-09-17T09:17:51Z
FA306,"5/16-18 x 1 1/4"" Hex Bolt",simple,1,3.00,3.48,3.00,3.83,3.30,UPDATED,2026-09-17T09:17:51Z
FA307,5-16 x 24 Jam Nut,simple,1,3.00,3.00,3.00,3.30,3.30,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA311,"FA311 1/4-28 X 1/2"" Socket Head",simple,2,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA312,"10-24 X 1/4"" Socket Hand Set",simple,2,2.00,2.15,2.00,2.37,2.20,UPDATED,2026-09-17T09:17:51Z
FA313,1/4-20 X 1/4 Socket Head Set Screw,simple,1,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA315,"FA315 10-32 X 3/8"" Flat Socket Head",simple,1,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA316,"10-32 X 1/2"" Flat Socket Head",simple,1,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA317,"5/32"" x 7/8"" Roll Pin",simple,1,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA320,"1/4-28-3/8"" Socket Set Screw",simple,1,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA365,"3/16 x 1"" Sping Pin SS",simple,1,3.00,3.00,3.00,3.30,3.30,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA376,8-32 x 5/16 SS Socket Head,simple,1,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
FA379,"1/4"" SS E-Clip",simple,1,4.00,3.25,4.00,3.58,4.40,UPDATED,2026-09-17T09:17:51Z
FA380,"1/8"" SS E-Clip",simple,1,4.00,2.95,4.00,3.25,4.40,UPDATED,2026-09-17T09:17:51Z
FA382,"10-32 x 1/4"" SS Set Screw",simple,1,1.00,1.00,1.00,1.10,1.10,ALREADY_CURRENT,2026-09-17T09:17:51Z
FFB16,Door Spring Nut,simple,1,5.00,7.35,5.00,8.09,5.50,UPDATED,2026-09-17T09:17:51Z
FFB17,Door Spring,simple,1,5.00,73.22,5.00,80.54,5.50,UPDATED,2026-09-17T09:17:51Z
FFB25,Rubber Gasket Retainer,variable,2,5.00,,5.00,,5.50,UPDATED,2026-09-17T09:17:51Z
FFB32,Door Stop,simple,3,3.00,3.00,3.00,3.30,3.30,ALREADY_CURRENT,2026-09-17T09:17:51Z
FFB32A,Thumb Release Clip Screw,simple,3,2.00,12.50,2.00,13.75,2.20,UPDATED,2026-09-17T09:17:51Z
