Brand,Product Name,SKU,Product Price,Product Description,Matched DTB Brand,DTB Brand Match Method,DTB Brand Match Confidence
Columbia,"Columbia 2"" Angle Head",2AH,410.99,"Columbia Taping Tools 2inch Convertible Wheels Angle head, is ideal for taping coat, as well as finishing door legs and other narrow angles. Sometimes called a corner finisher or glazer, Columbia Angle Head features an exclusive Locking Clip Attachment System which eliminates surprise detachment from angle boxes or angle head handles. With the all-new stainless steel blade frames and precision machined aluminum body, Columbia Taping Tools 2"" angle head is designed to feather a consistent, smooth finish on both sides of inside 90 degree drywall angles. Columbia's exclusive, new Thick Frame Blade Carrier design is the ultimate in precision and durability. This new advancement in angle head construction will last longer than any other non-stainless, coated carriers, and finish with a smooth precision that has never before been seen in angle head corner finishers. The convertible wheels design is perfect for any drywall finisher - Run with wheels for a smooth, gliding performance. Run without wheels for easy clean-up or personal preference. Every Columbia Angle Head Corner Finisher includes a set of wheels and instructions for installation. After applying tape and setting with corner roller (sold separately), angle head is attached to angle head handle, and smoothes first coat of tape consistently into the corner. Smooth finish to inside drywall corners can be done by attaching angle head to angle box (also known as corner box) to apply final mud coat Columbia 2inch drywall angle head works great for final finish coat in narrow corners or on tape coat. Mud can be easily removed from behind frames through handy Clean-Out hole.. Precision machined anodized aluminum body for solid fit and long-term reliability. Surprise detachments from angle head handle or angle box are eliminated with the Locking Clip System Stainless Steel, Heavy Duty, Thick Frame Blade Carriers are the ultimate in precision and reliability. Includes wheel kit and installation instructions. Convertible design can be run with or without wheels. 5-year Manufacturer's Warranty.",Columbia Tools,exact_sku_in_official_catalog,1.00
Columbia,"Columbia 2"" Angle Head Rebuild Kit- 2015",COL501G2F,89.99,"Kit includes: (2) 8-32 X 1/4 1/2 Dog Setscrew (12) 6-32 X 1/8 Socket Hd Setscrew (2) Columbia Angle Head Carbide Blade 2"" (2) Skid (side blade) (1) Retainer Clip (Short) 2015 Angle Heads (1) Retainer Clip (Long) 2015 Angle Heads",Columbia Tools,brand_alias,0.98
Columbia,"Columbia 2"" Angle Head w/ Wheels",2AH,410.97,"The Columbia 2"" Angle Head is a great choice for your glazing coat. It produces a very fine finish on inside 90 degree corners. Shop online today!",Columbia Tools,exact_sku_in_official_catalog,1.00
Columbia,"Columbia 2"" Comfort Grip Putty Knife",CGPK2,11.17,"Columbia 2"" Comfort Grip Putty Knife The Columbia 2"" Comfort Grip Putty Knife is designed for precise drywall finishing, patching, and repair work. Its narrow blade provides excellent control when filling small holes, applying joint compound in tight areas, and completing detailed finishing tasks where a wider knife may be difficult to use. The high-quality stainless-steel blade delivers the smooth flexibility and durability expected by professional drywall finishers. Its corrosion-resistant construction supports dependable everyday use, while the controlled blade flex helps spread and smooth compound with accuracy. A rubberized Comfort Grip handle provides a secure, comfortable hold for maximum control. Designed to reduce hand fatigue during extended use, this compact Columbia putty knife is a dependable choice for drywall contractors, painters, remodelers, and other construction professionals. Features: 2-inch professional putty knife Narrow blade provides precise control in tight spaces High-quality stainless-steel blade offers durability and flexibility Corrosion-resistant construction supports long-lasting use Flexible blade helps spread and smooth compound evenly Rubberized Comfort Grip handle provides comfort and control Ergonomic design helps reduce hand fatigue Ideal for filling nail holes, cracks, and small surface imperfections Suitable for applying joint compound, spackle, and patching materials Designed for drywall finishing, painting, repairs, and detail work",Columbia Tools,brand_alias,0.98
Columbia,"Columbia 2"" Nail Spotter w/ X1 Ext Handle",2NSX1,347.75,"Columbia Taping Tools 2"" Nail Spotter has been updated and redesigned for greater usability and durability! Hinged door design is easy to push with or without springs. Integrated thumb latch for door release makes clean-up a breeze. All-new gasket resists solvent based lubricants, and integrated tension screw makes adjustments a snap. Skid Plates & Wheels The Columbia Nail Spotter design uses a traditional skid plate, but optional wheels are integrated and available. Skid plates offer a greater amount of protection against screw and nail clickers. Wheels track smoother along the wall, and generally add a higher level of control. Regardless of your skid plate preference, the Columbia Spotters have your nail spots covered! Stop Floppin' One of the weak points on traditional nail spotters was the handle pivot joint. Older designs required turning a nut with a wrench to get the correct tension on the nail box. Most of the time the tension would quickly change, and the nail box would flop around - It's frustrating and inefficient. Columbia has eliminated the frustration with a simple Thumb Screw Adjustment on the pivot point. No tools are required, and a bushing inside the pivot helps to keep the correct tension on the nail box. Columbia 2"" Nail Spotter Kit Features: Tough Aluminum Construction is Light and Durable Tougher Door Gasket the won't swell! Use any Lubricant! Hinged Door Runs smoothly with or without Door Spring Easy Adjustable Handle Tension Screw Eliminates Box Flop Run with Skid Plate to Protect Against Clickers or Wheels for More Control Includes 3' - 8' X1 Aluminum Extension Handle",Columbia Tools,brand_alias,0.98
Columbia,"Columbia 2"" Nylon Putty Knife",NPK2,11.25,"Columbia 2"" Nylon Putty Knife The Columbia 2"" Nylon Putty Knife is built for precise drywall finishing, patching, and repair work. Its compact 2-inch blade provides excellent control when filling fastener holes, repairing cracks, applying joint compound, and completing detailed touch-ups. A premium stainless steel blade delivers the durability and flexibility needed to spread and feather compound smoothly. The narrow profile reaches corners, edges, trim, outlets, and other confined areas where larger drywall knives may be difficult to maneuver. The durable nylon handle offers a comfortable, secure grip, while the integrated hammer head provides added strength and jobsite versatility. Designed for dependable professional performance, this Columbia putty knife is a practical hand tool for drywall contractors, painters, remodelers, and maintenance crews. Features: Compact 2-inch blade for detailed finishing Premium stainless steel blade Flexible blade supports smooth compound application Helps feather edges for clean, even transitions Ideal for filling fastener holes, cracks, and small imperfections Suitable for drywall patches, repairs, and touch-ups Narrow design reaches tight and confined areas Durable nylon handle Comfortable design provides a secure grip Integrated hammer head for added strength and versatility Built for professional drywall finishing applications Easy-to-clean blade and handle construction",Columbia Tools,brand_alias,0.98
Columbia,"Columbia 2"" One Piece Putty Knife",OPPK2,14.15,"Columbia 2"" One Piece Putty Knife The Columbia 2"" One Piece Putty Knife is designed for detailed drywall finishing, patching, and repair work in tight spaces. Its compact 2-inch blade offers excellent control when filling nail and screw holes, repairing small cracks, applying joint compound, and completing precise touch-ups around corners, trim, and fixtures. Crafted from a single piece of stainless steel with welded construction, this professional putty knife delivers dependable strength, flexibility, and long-lasting performance. The flexible blade helps spread and feather compound smoothly, while the one-piece design eliminates common weak points between the blade and handle. An ergonomic integrated grip provides comfortable control and helps reduce hand strain during repetitive finishing tasks. The corrosion-resistant stainless steel construction is durable, easy to clean, and built for regular professional jobsite use. Features: Compact 2-inch blade for detailed finishing Ideal for nail holes, screw holes, cracks, and small repairs Reaches tight spaces around corners, trim, and fixtures One-piece stainless steel construction Welded design maximizes strength and reliability Flexible blade supports smooth compound application Helps feather edges for clean transitions Ergonomic integrated grip Provides comfort and control during repeated use One-piece design eliminates weak handle connection points Corrosion-resistant construction Easy to clean and maintain Built for professional drywall finishing applications",Columbia Tools,brand_alias,0.98
Columbia,"Columbia 2.5"" Angle Head",2.5AH,421.99,"Columbia Taping Tools 2.5"" Convertible Wheels Angle head, is ideal for taping coat, as well as finishing door legs and other narrow angles. Sometimes called a corner finisher or glazer, Columbia Angle Head features a Secure Locking Attachment System which eliminates surprise detachment from angle boxes or angle head handles. With rugged welded stainless steel blade frames and precision machined aluminum body, Columbia Taping Tools 2"" angle head is designed to feather a consistent, smooth finish on both sides of inside 90 degree drywall angles. Columbia's exclusive, new Thick Frame Blade Carrier design is the ultimate in precision and durability. This new advancement in angle head construction will last longer than any other non-stainless, coated carriers, and finish with a smooth precision that has never before been seen in angle head corner finishers. The convertible wheels design is perfect for any drywall finisher - Run with wheels for a smooth, gliding performance. Run without wheels for easy clean-up or personal preference. Every Columbia Angle Head Corner Finisher includes a set of wheels and instructions for installation. After applying tape and setting with corner roller (sold separately), angle head is attached to angle head handle, and smoothes first coat of tape consistently into the corner. Smooth finish to inside drywall corners can be done by attaching angle head to angle box (also known as corner box) to apply final mud coat Columbia 2.5 inch drywall angle head works great for tape coat final finish coat in narrow corners. Mud can be easily removed from behind frames through handy Clean-Out hole.. Precision machined anodized aluminum body for solid fit and long-term reliability. Surprise detachments from angle head handle or angle box are eliminated with the Locking Clip System Stainless Steel, Heavy Duty, Thick Frame Blade Carriers are the ultimate in precision and reliability. 5-year Manufacturer's Warranty.",Columbia Tools,exact_sku_in_official_catalog,1.00
Columbia,"Columbia 2.5"" Angle Head Rebuild Kit- 2015",COL501G25F,89.99,"Kit includes: (2) 8-32 X 1/4 1/2 Dog Setscrew (12) 6-32 X 1/8 Socket Hd Setscrew (2) Columbia Angle Head Carbide Blade 2.5"" (2) Skid (side blade) (1) Retainer Clip (Short) 2015 Angle Heads (1) Retainer Clip (Long) 2015 Angle Heads",Columbia Tools,brand_alias,0.98
Columbia,"Columbia 2.5"" Angle Head w/ Wheels",2.5AH,421.79,"The Columbia 2.5"" Angle Head is a great choice for your glazing coat. It produces a very fine finish on inside 90 degree corners. Shop Al's Taping Tools today!",Columbia Tools,exact_sku_in_official_catalog,1.00
Columbia,"Columbia 2.5"" Combo Flusher",2.5CSF,163.99,"Columbia 2.5 "" Combo Flusher The Columbia 2.5"" Combo Flusher is used to embed and feather joint tape into pre-filled internal 90º drywall corners. The Columbia 2.5"" Combo flusher is an excellent choice for taping coats on projects with narrow door or window legs. Solid billet machined core provides utmost precision, and body made of surgical stainless steel stays true even with extensive use. Genuine Stainless Steel runners will not rust or corrode like some competitors, allowing for an extremely clean finish. Columbia Tools 2.5 "" Combo corner flusher features superior locking clip to keep flusher attached and will work with any brand flusher handle. Columbia Taping Tools feature a 5-year warranty against manufacturer defect. Surgical Stainless Steel body flexes less and stays reliably true Solid billet core construction for longer life and better finish Will work an any angle head or flusher handle Superior retainer clip to keep flusher on handles",Columbia Tools,exact_sku_in_official_catalog,1.00
Columbia,"Columbia 2.5"" Direct Corner Flusher",2.5DF,127.99,"Columbia 2.5"" Direct Flusher with Wheels- An All-Wall Exclusive! Columbia Taping Tools Direct Flusher 2.5"" with wheels is ideal for finishing narrow angles or side legs. The addition of wheels makes this absolutely the smoothest running flusher you have ever used! Solid billet machined core provides utmost precision, and body made of surgical stainless steel stays true even with extensive use. Genuine Stainless Steel runners will not rust or corrode like some competitors, allowing for an extremely clean finish. Columbia Tools 2.5"" Direct corner flusher features superior locking clip to keep flusher attached and will work with any brand flusher handle. Columbia Taping Tools feature a 5-year warranty against manufacturer defect. Included wheel option lowers friction up to 80% for easier pushing Wheels help eliminate skipping with using on extension handles Surgical Stainless Steel body flexes less and stays reliably true Solid billet core construction for longer life and better finish Will work an any angle head or flusher handle Superior retainer clip to keep flusher on handles",Columbia Tools,exact_sku_in_official_catalog,1.00
Columbia,"Columbia 2.5"" Standard Corner Flusher",2.5SF,116.99,"Columbia 2.5 "" Standard Flusher with Wheels- An All-Wall Exclusive! Columbia Taping Tools Standard Flusher 2.5""with wheels is ideal for base coat. The addition of wheels makes this absolutely the smoothest running flusher you have ever used! Solid billet machined core provides utmost precision, and body made of surgical stainless steel stays true even with extensive use. Genuine Stainless Steel runners will not rust or corrode like some competitors, allowing for an extremely clean finish. Columbia Tools 2.5 "" Standard corner flusher features superior locking clip to keep flusher attached and will work with any brand flusher handle. Columbia Taping Tools feature a 5-year warranty against manufacturer defect. Included wheel option lowers friction up to 80% for easier pushing Wheels help eliminate skipping with using on extension handles Surgical Stainless Steel body flexes less and stays reliably true Solid billet core construction for longer life and better finish Will work an any angle head or flusher handle Superior retainer clip to keep flusher on handles",Columbia Tools,exact_sku_in_official_catalog,1.00
Columbia,"Columbia 24"" Cam-Lock Compound Mud Tube",CLT24,257.99,"Columbia 24"" Cam Lock Compound Mud Tube Fills like a syringe, simply insert the tube into the compound bucket with the plunger rod collapsed, pulling the plunger rod out fills the tube with compound. Depress the plunger rod to dispense compound. Simply an Easy way to apply compound to the wall. Featuring a smooth syringe action supported by a plunger bushing - Easy push and fill with an extra high quality aluminum tube, head, and swap out implement ball. The newly improved version of the original compound mud tube, includes brass cams and a stainless steel lock ring feature that allows for easy access for cleaning and other routine maintenance. Columbia tubes are true professional grade, and the aluminum main components won't bust, crack or easily break like the competition. Columbia Compound Tubes Work With: Better Than Ever Brand Mud Heads Red Diamond Implements All Brands Of Direct Flushers All Brands Of Corner Bead Heads All Brands Of Angle Head/Corner Finishers Features: Lightweight Aluminum Tube & Plunger Rod Self Lubricating Plunger Bushing For Easy Push Long Lasting Billet Aluminum Nose Cone Includes Strong And Durable Aluminum Implement Ball For Flushers and Applicators Brass Cams On A Stainless Steel Lock Ring Quick Remove Bottom For Complete Cleaning Hand Made in Columbia's State Of The Art Facility In Canada With U.S. Aluminum and Steel Components.",Columbia Tools,exact_sku_in_official_catalog,1.00
Columbia,"Columbia 24"" Compound Mud Tube",CMT24,197.99,"Columbia 24"" Compound Mud Tube an extra high quality aluminum tube and head. Columbia 24"" Mud Tube features a smooth syringe action supported by a plunger bushing - Easy push and fill with the long term quality you expect from Columbia Tools. Columbia tubes are true professional grade, and the aluminum main components won't bust, crack or easily break like the competition. Ideal for high reach work and extra long runs. Compound tubes fill like a syringe - simply insert the tube into the compound bucket with the plunger rod collapsed - pulling the plunger rod out fills the tube with compound. Depress the plunger rod to dispense compound. Simply an Easy way to apply compound to the wall. Columbia Compound Tubes work with: Better Than Ever brand Mud Heads Red Diamond Implements All brands of direct flushers All brands of corner bead heads All brands of angle head/corner finishers Features: Lightweight Aluminum Tube & Plunger Rod Self lubricating plunger bushing for easy push throughout it's life Long lasting billet aluminum nose cone Includes strong and durable aluminum implement ball for flushers and applicators Hand Made in Columbia's State Of The Art Facility In Canada With U.S. Aluminum and Steel Components.",Columbia Tools,exact_sku_in_official_catalog,1.00
Columbia,"Columbia 24"" Drywall Corner Finishing Compound Mud Tube",CMT24,197.91,"Introducing the Columbia 24"" Compound Mud Tube. The compound tube acts like a giant syringe for drywall compound. Shop Columbia from Al's Taping Tools today!",Columbia Tools,exact_sku_in_official_catalog,1.00
Columbia,"Columbia 24"" Fat Boy Smoothing Blade",FSB24,70.82,"Columbia 24"" Fat Boy Smoothing Blade The Columbia 24"" Fat Boy Smoothing Blade is a lightweight professional drywall finishing tool designed for fast coverage, precise control, and smooth, consistent results. Its wide 24-inch blade makes it an excellent choice for skim coating, flattening joint compound, and finishing large wall and ceiling surfaces with fewer passes. A rubberized ergonomic grip provides secure, comfortable handling while helping the user maintain consistent pressure across the full width of the blade. Despite its larger size, the lightweight construction improves maneuverability and helps reduce hand and wrist fatigue during extended smoothing applications. The replaceable stainless-steel blade delivers the flexibility needed to blend compound, remove ridges, and create an even professional finish. Built for durability and efficient production work, the Columbia Fat Boy Smoothing Blade is ideal for drywall contractors, remodelers, painters, and finishers working on large surface areas. Features: 24-inch professional smoothing blade Wide blade provides fast, efficient surface coverage Ideal for large walls, ceilings, and skim-coating applications Lightweight construction improves handling and maneuverability Rubberized ergonomic grip provides secure, comfortable control Helps reduce hand and wrist fatigue during extended use Replaceable stainless-steel blade Flexible blade helps flatten compound and remove surface ridges Produces smooth, even, professional-quality finishes Designed for professional drywall finishing and surface preparation",Columbia Tools,brand_alias,0.98
Columbia,"Columbia 24"" Sabre Smoothing Blade",SSB24,86.99,"Columbia 24"" Sabre Smoothing Blade SSB24 Columbia designed the Sabre Smoothing Blades as a lighter, more affordable alternative to the premium Tomahawk Smoothing Blades. While the Tomahawk remains the top-tier option, the Sabre provides a cost-effective solution without sacrificing quality. The body profile is identical to the Tomahawk but constructed from high-quality plastic instead of billet aluminum. One of the most notable advantages of the Sabre Smoothing Blades is their weightâ€”approximately 60% lighter than the Tomahawkâ€”making them easier to handle and control. They are also about 40% more affordable, offering excellent value without compromise. Features: Compatible for hand use or with the Sabre Claw Adapter (SBC) for the Sabre Pole (SBP) each sold separately Hardened stainless steel blade for durability and abrasion resistance Rounded anti-trace edges to reduce marks and imperfections High-performance Bi-Flex technology with PVC plate for superior flexibility and control",Columbia Tools,brand_alias,0.98
Columbia,"Columbia 24"" Tomahawk Smoothing Blade",TSB-24,103.82,"Columbia 24"" Tomahawk Smoothing Blade The Columbia Tomahawk set of Smoothing Blades is the most durable set on the market today. With no plastic pieces, the Tomahawk doesn't snap under pressure. And because the blades use a Flat Box handle, there are no p",Columbia Tools,brand_alias,0.98
Columbia,"Columbia 24"" Tomahawk Smoothing Blade",TSB-24,103.99,"Columbia 24"" Tomahawk Smoothing Blade Stability, Durability and Functionality, The Columbia Tomahawk Smoothing Blade offers the alternative to 'lack there of'. No plastic adapters, the Columbia Tomahawk attaches to any Columbia Flat Box handle or to the Columbia One Handle, with the Columbia Tomalock Adaptor (Sold Separately). The professional grade, solid construction is ideal for use with larger blades and will not snap under pressure like other smoothing blades. Features: Works with a Flat Box Handle. Interchangeable Blades Billet Machined for durability. No Plastic Parts Use With Columbia Tomalock Adaptor (Sold Separately).",Columbia Tools,brand_alias,0.98
Columbia,"Columbia 2K 6"" Bucket Scoop",CBS2K,11.99,"Columbia 2K 6"" Bucket Scoop",Columbia Tools,brand_alias,0.98
Columbia,"Columbia 3"" Angle Head",3AH,443.99,"Columbia Taping Tools 3"" Angle head, is ideal for taping coat, and final finishing coat. Sometimes called a corner finisher or glazer, Columbia Angle Head features an exclusive Secure Locking Attachment System which eliminates surprise detachment from angle boxes or angle head handles. With rugged welded stainless steel blade frames and precision machined aluminum body, Columbia Taping Tools 3"" angle head is designed to feather a consistent, smooth finish on both sides of inside 90 degree drywall angles. Columbia's exclusive, new Thick Frame Blade Carrier design is the ultimate in precision and durability. This new advancement in angle head construction will last longer than any other non-stainless, coated carriers, and finish with a smooth precision that has never before been seen in angle head corner finishers. The convertible wheels design is perfect for any drywall finisher - Run with wheels for a smooth, gliding performance. Run without wheels for easy clean-up or personal preference. Every Columbia Angle Head Corner Finisher includes a set of wheels and instructions for installation. After applying tape and setting with corner roller (sold separately), angle head is attached to angle head handle, and smoothes first coat of tape consistently into the corner. Smooth finish to inside drywall corners can be done by attaching angle head to angle box (also known as corner box) to apply final mud coat Columbia 3 inch drywall angle head works great for either taping or finishing coats. Mud can be easily removed from behind frames through handy Clean-Out hole.. Precision machined anodized aluminum body for solid fit and long-term reliability. Surprise detachments from angle head handle or angle box are eliminated with the Locking Clip System Stainless Steel, Heavy Duty, Thick Frame Blade Carriers are the ultimate in precision and reliability. 5-year Manufacturer's Warranty.",Columbia Tools,exact_sku_in_official_catalog,1.00
Columbia,"Columbia 3"" Angle Head Rebuild Kit- 2015",COL501G3F,89.99,"Kit includes: (2) 8-32 X 1/4 1/2 Dog Setscrew (12) 6-32 X 1/8 Socket Hd Setscrew (2) Columbia Angle Head Carbide Blade 3"" (2) Skid (side blade) (1) Retainer Clip (Short) 2015 Angle Heads (1) Retainer Clip (Long) 2015 Angle Heads",Columbia Tools,brand_alias,0.98
Columbia,"Columbia 3"" Angle Head w/ Wheels",3AH,443.42,The Columbia inch angle head is a great corner finisher for professional drywall tapers. Best angle head for finishing coat using corner boxes. Shop today!,Columbia Tools,exact_sku_in_official_catalog,1.00
Columbia,"Columbia 3"" Combo Flusher",3CSF,168.99,"Columbia 2.5 "" Standard Flusher with Wheels- An All-Wall Exclusive! The Columbia 3"" Combo Flusher is used to embed and feather joint tape into pre-filled internal 90º drywall corners. The Columbia 3"" Combo flusher is an excellent choice for taping coats on common drywall projects.Solid billet machined core provides utmost precision, and body made of surgical stainless steel stays true even with extensive use. Genuine Stainless Steel runners will not rust or corrode like some competitors, allowing for an extremely clean finish. Columbia Tools 3"" Combo corner flusher features superior locking clip to keep flusher attached and will work with any brand flusher handle. Columbia Taping Tools feature a 5-year warranty against manufacturer defect. Leading creaser wheel embeds tape without the need for a corner roller Surgical Stainless Steel body flexes less and stays reliably true Solid billet core construction for longer life and better finish Will work an any angle head or flusher handle Superior retainer clip to keep flusher on handles",Columbia Tools,exact_sku_in_official_catalog,1.00
Columbia,"Columbia 3"" Comfort Grip Putty Knife",CGPK3,12.75,"Columbia 3"" Comfort Grip Putty Knife The Columbia 3"" Comfort Grip Putty Knife is designed for professional drywall finishing, patching, and repair applications that require precise control. Its compact 3-inch blade is ideal for filling holes, repairing cracks, applying joint compound, and smoothing patching materials across small areas. The high-quality stainless-steel blade provides the durability and controlled flexibility needed to spread and feather compound smoothly. Its corrosion-resistant construction supports dependable performance through frequent professional use while making the blade easier to clean and maintain. A rubberized Comfort Grip handle delivers a secure, comfortable hold for maximum control during detailed finishing work. Designed to reduce hand fatigue throughout the workday, this versatile Columbia putty knife is a dependable choice for drywall finishers, painters, remodelers, and maintenance professionals. Features: 3-inch professional putty knife High-quality stainless-steel blade provides durability and flexibility Corrosion-resistant blade supports long-lasting professional use Controlled blade flex helps spread and smooth compound evenly Rubberized Comfort Grip handle provides maximum comfort and control Ergonomic design helps reduce hand fatigue during extended use Ideal for filling holes, cracks, and surface imperfections Suitable for applying joint compound, spackle, and patching materials Useful for drywall finishing, painting, repairs, and surface preparation Designed for professional contractors and remodelers",Columbia Tools,brand_alias,0.98
Columbia,"Columbia 3"" Direct Corner Flusher",3DF,130.99,"Columbia 3"" Direct Flusher with Wheels- An All-Wall Exclusive! Columbia Taping Tools Direct Flusher 3"" with wheels is ideal for finish coat. The addition of wheels makes this absolutely the smoothest running flusher you have ever used! Solid billet machined core provides utmost precision, and body made of surgical stainless steel stays true even with extensive use. Columbia Tools 3"" Direct corner flusher features superior locking clip to keep flusher attached and will work with any brand flusher handle. Genuine Stainless Steel runners will not rust or corrode like some competitors, allowing for an extremely clean finish.Columbia Taping Tools feature a 5-year warranty against manufacturer defect. Wheels help eliminate skipping with using on extension handles Included wheel option lowers friction up to 80% for easier pushing Solid billet core construction for longer life and better finish Surgical Stainless Steel body flexes less and stays reliably true Will work an any angle head or flusher handle Superior retainer clip to keep flusher on handles",Columbia Tools,exact_sku_in_official_catalog,1.00
Columbia,"Columbia 3"" Nail Spotter w/ X1 Ext Handle",COL68EXT1,358.25,"Columbia Taping Tools 3"" Nail Spotter has been updated and redesigned for greater usability and durability! Hinged door design is easy to push with or without springs. Integrated thumb latch for door release makes clean-up a breeze. All-new gasket resists solvent based lubricants, and integrated tension screw makes adjustments a snap. Skid Plates & Wheels The Columbia Nail Spotter design uses a traditional skid plate, but optional wheels are integrated and available. Skid plates offer a greater amount of protection against screw and nail clickers. Wheels track smoother along the wall, and generally add a higher level of control. Regardless of your skid plate preference, the Columbia Spotters have your nail spots covered! Stop Floppin' One of the weak points on traditional nail spotters was the handle pivot joint. Older designs required turning a nut with a wrench to get the correct tension on the nail box. Most of the time the tension would quickly change, and the nail box would flop around - It's frustrating and inefficient. Columbia has eliminated the frustration with a simple Thumb Screw Adjustment on the pivot point. No tools are required, and a bushing inside the pivot helps to keep the correct tension on the nail box. Columbia 3"" Nail Spotter Kit Features: Tough Aluminum Construction is Light and Durable Tougher Door Gasket the won't swell! Use any Lubricant! Hinged Door Runs smoothly with or without Door Spring Easy Adjustable Handle Tension Screw Eliminates Box Flop Run with Skid Plate to Protect Against Clickers or Wheels for More Control Includes 3' - 8' X1 Aluminum Extension Handle",Columbia Tools,brand_alias,0.98
Columbia,"Columbia 3"" Nail Spotter with Featherlight Handle",g3NS & C1H,330,"Columbia 3"" Nail Spotter with Featherlight Handle Columbia Taping Tools 3"" Nail Spotter is an excellent choice for finishing nail and screw holes. Simply fill the Columbia Nail Spotter with joint compound and run it down the fasteners like your flat box.",Columbia Tools,brand_alias,0.98
Columbia,"Columbia 3"" Nylon Putty Knife",NPK3,11.67,"Columbia 3"" Nylon Putty Knife The Columbia 3"" Nylon Putty Knife is designed for detailed drywall finishing, patching, and repair work. Its compact 3-inch blade provides the control needed to apply, shape, and smooth joint compound over fastener holes, small seams, cracks, and surface imperfections. The premium stainless steel blade offers the durability and flexibility required for smooth, consistent finishes. Its flexible design helps drywall finishers feather compound cleanly into the surrounding surface while maintaining precise control in tight or detailed work areas. A durable nylon handle provides a secure, comfortable grip, while the integrated hammer head adds strength and jobsite versatility. Built for professional performance, the Columbia 3-inch putty knife is a dependable hand tool for drywall contractors, painters, remodelers, and maintenance crews. Features: Compact 3-inch blade for detailed finishing work Premium stainless steel blade Flexible blade supports smooth compound application Helps feather edges for a clean, even finish Ideal for filling fastener holes, cracks, and small repairs Suitable for applying and shaping joint compound Durable nylon handle Comfortable design provides a secure grip Integrated hammer head for added strength and versatility Useful for drywall finishing, patching, and touch-ups Built for professional jobsite performance Easy-to-clean blade and handle construction",Columbia Tools,brand_alias,0.98
Columbia,"Columbia 3"" One Piece Putty Knife",OPPK3,14.98,"Columbia 3"" One Piece Putty Knife The Columbia 3"" One Piece Putty Knife is a versatile drywall finishing tool designed for applying, spreading, and smoothing joint compound over seams, fastener heads, cracks, and small repairs. Its 3-inch blade offers a practical balance of coverage and control, making it useful for both detailed patching and everyday finishing work. Crafted from a single piece of stainless steel with welded construction, this professional putty knife delivers dependable strength, flexibility, and long-lasting performance. The flexible blade helps apply compound evenly and feather edges smoothly, while the one-piece design eliminates common weak points between the blade and handle. An ergonomic integrated grip promotes comfort and control while helping reduce strain during repetitive work. Its corrosion-resistant stainless steel construction is easy to clean and built to withstand regular use by drywall contractors, painters, remodelers, and maintenance professionals. Features: Versatile 3-inch blade Ideal for drywall patching and finishing Suitable for filling fastener heads, cracks, and small repairs Helps spread and smooth joint compound Flexible blade supports clean feathered edges One-piece stainless steel construction Welded design maximizes strength and reliability Eliminates weak blade-to-handle connection points Ergonomic integrated grip Provides comfort and control during repeated use Corrosion-resistant construction Easy to clean and maintain Built for professional jobsite applications",Columbia Tools,brand_alias,0.98
Columbia,"Columbia 3"" Standard Corner Flusher",3SF,122.99,"Columbia 3 "" Standard Flusher with Wheels- An All-Wall Exclusive! Columbia Taping Tools Standard Flusher 3"" with wheels is ideal for base coat. The addition of wheels makes this absolutely the smoothest running flusher you have ever used! Solid billet machined core provides utmost precision, and body made of surgical stainless steel stays true even with extensive use. Columbia Tools 3 "" Standard corner flusher features superior locking clip to keep flusher attached and will work with any brand flusher handle. Genuine Stainless Steel runners will not rust or corrode like some competitors, allowing for an extremely clean finish.Columbia Taping Tools feature a 5-year warranty against manufacturer defect. Wheels help eliminate skipping with using on extension handles Included wheel option lowers friction up to 80% for easier pushing Solid billet core construction for longer life and better finish Surgical Stainless Steel body flexes less and stays reliably true Will work an any angle head or flusher handle Superior retainer clip to keep flusher on handles",Columbia Tools,exact_sku_in_official_catalog,1.00
Columbia,"Columbia 3"" Widetrack Direct Corner Flusher",3WTDF,140.99,"Columbia 3"" Widetract Direct Flusher with Wheels- An All-Wall Exclusive! Columbia Taping Tools Direct Flusher 3"" Widetrack with wheels is a great choice for finish coat. The addition of wheels makes this absolutely the smoothest running flusher you have ever used! Solid billet machined core provides utmost precision, and body made of surgical stainless steel stays true even with extensive use. Columbia Tools 3 "" Widetrack Direct corner flusher features slight extra width and superior locking clip to keep flusher attached. Will fit any brand flusher handle. Genuine Stainless Steel runners will not rust or corrode like some competitors, allowing for an extremely clean finish. Columbia Taping Tools feature a 5-year warranty against manufacturer defect. Wheels help eliminate skipping when using on extension handles Included wheel option lowers friction up to 80% for easier pushing Surgical Stainless Steel body flexes less and stays reliably true Solid billet core construction for longer life and better finish Superior retainer clip to keep flusher on handles Will work an any angle head or flusher handle",Columbia Tools,exact_sku_in_official_catalog,1.00
