part_key,canonical_name,part_type,brand,occurrence_count,catalog_skus,example_titles
screw 8-32 x 1/4,screw 8-32 x 1/4,screw,Level5,1,,8-32 x 1/4 FH Screw
screw 8-32 x 1/4 pan head,screw 8-32 x 1/4 pan head,screw,Columbia,11,FA327,8 - 32 x 1/4 Pan Head Screw; 8-32 x 1/4 Pan Head Screw (FA327)
screw 8-32 x 3/16 binder head,screw 8-32 x 3/16 binder head,screw,Asgard,1,,729063 - 8-32 X 3/16 Bind Hd Sst Screw
screw 8-32 x 3/4 socket head,screw 8-32 x 3/4 socket head,screw,Columbia,12,,8-32 x 3/4 Socket Head Screw (FA260)
screw 8-32 x 3/8 fillister head,screw 8-32 x 3/8 fillister head,screw,Asgard,1,,159010 - 8-32 x 3/8 Fil Hd SS
screw 8-32 x 3/8 pan head,screw 8-32 x 3/8 pan head,screw,Columbia,5,FA366,8 - 32 x 3/8 Pan Head Screw; 8-32 x 3/8 Pan Head Screw (FA366)
screw 8-32 x 5/16 binder head,screw 8-32 x 5/16 binder head,screw,Columbia,1,FA259,"FA259 8 - 32 X 5/16"" Binder Slot"
screw 8-32 x 5/16 socket head,screw 8-32 x 5/16 socket head,screw,Columbia,2,FA376,8 - 32 x 5/16 SS Socket Head
screw 8-32 x 5/8 flat head,screw 8-32 x 5/8 flat head,screw,Columbia,5,FA263,8 - 32 x 5/8 Flat Head Screw; 8-32 x 5/8 Flat Head Screw (FA263)
set screw 1/4-20 x 1/4 socket head,set screw 1/4-20 x 1/4 socket head,set screw,Columbia,2,FA313,1/4 - 20 X 1/4 Socket Head Set Screw
set screw 1/4-28,set screw 1/4-28,set screw,Columbia,1,FA320,"1/4 - 28 - 3/8"" Socket Set Screw"
set screw 1/4-28 x 1,set screw 1/4-28 x 1,set screw,Columbia,3,,1/4-28 X 1/4in Set Screw (FA302)
set screw 1/4-28 x 3/8,set screw 1/4-28 x 3/8,set screw,Columbia,12,,1/4-28 x 3/8 Set Screw (FA303)
set screw 10-24 x 1/4,set screw 10-24 x 1/4,set screw,Columbia,29,FA324,"10 - 24 x 1/4 Set Screw; 10-24 X 1/4"" Set Screw (FA312); 10-24 x 1/4 Set Screw (FA324)"
set screw 10-32 x 1/4,set screw 10-32 x 1/4,set screw,Columbia,1,FA382,"10 - 32 x 1/4"" SS Set Screw"
set screw 4-40 x 5/16,set screw 4-40 x 5/16,set screw,Columbia,5,FAS46,Predator Taper 4 - 40 x 5/16 Set Screw; Predator Taper 4-40 x 5/16 Set Screw (FAS46)
