brand,name,sku,category,weight,length,width,height,cogs,description
TapeTech,"4-40 X 3/8"" BIND HEAD SST SCREW",059217,Parts,0.002,0.49,0.25,0.24,0.44,"4-40 X 3/8"" BIND HEADSST SCREW"
TapeTech,ANGLE APPLICATOR 10-32 SST STOP NUT +,059225,Parts,0.004,0.5,0.5,0.5,0.44,<p>Replacement Nut 10-32 Elastic fo TapeTech 04TT and 05TT; fits a total of 21 different tools</p> <p>&nbsp;</p>
TapeTech,"5-40 x 13/32"" BIND HEAD SST SCREW",059230,Parts,0.002,0.2,0.2,0.4,,
TapeTech,TAPETECH SCREW 1/4-20 X 1/2 FL HD SS,059238,Parts,0.0085,0.5,0.5,0.5,,
TapeTech,8-32 HEX HD NUT SST,0592606,Parts,0.0025,0.15,0.35,0.35,,
TapeTech,TAPETECH 4-40X7/16 BINDING HD SCREW,059264,Parts,1,,,,,
TapeTech,10-32 x 5/8 BUTTONHEAD SOCKET CAP,059323,Parts,0.005,0.5,0.5,0.75,,
TapeTech,O-RING  -031 50 DUROMETER,0593286,Parts,0.001,0.1,2,2,,
TapeTech,TAPETECH SCREW 10-32 X 1 UNDERCUT,059329,Parts,0.004,0.25,0.25,1,,
TapeTech,TAPETECH SETSCREW 10-32 X 5/16,059331,Parts,0.0008,0.1,0.1,0.25,,
TapeTech,TAPETECH 0-RING 1MM X 11MM,059332,Parts,0.001,0.05,0.5,0.5,,
TapeTech,O RING TAPETECH,059333,Parts,0.00035,0.1,0.25,0.25,,
TapeTech,RUBBER WASHER TAPETECH,059423,Parts,0,,,,,
TapeTech,6-32 x 5/8 SOCKET HEAD CAP SCREW,059426,Parts,0.00133,0.25,0.25,0.75,,
TapeTech,SCREW 4-40X1/2 BINDING HD SST TAPE TECH,059616,Parts,0.0015,0.25,0.25,0.5,,
TapeTech,O-RING GOOSER STOP -109 BUNA TAPETECH,059807,Parts,0.01,,,,,
TapeTech,E-CLIP #25 TAPETECH,129061,Parts,0.0015,0.05,0.5,0.5,,
TapeTech,SPRING LATCH TAPETECH,130004,Parts,0,,,,,
TapeTech,NEEDLE PLUG TAPETECH,140007,Parts,0,,,,,
TapeTech,MUD RUNNER BALL OUTLET TAPETECH,140010,Parts,1,,,,,
TapeTech,Control Bushing,140013,Parts,0.01,,,,5.79,<p>Replacement Control Bushing for 14TT</p>
TapeTech,CONTROL TUBE CAP TAPETECH,140014,Parts,0.25,,,,,
TapeTech,PUSHROD CAP TAPETECH,140017,Parts,0,,,,,
TapeTech,MUD RUNNER SPRING TAPETECH,140018,Parts,1,,,,,
TapeTech,LOCK BLOCK FOR 14TT TAPETECH,140038,Parts,1,,,,,
TapeTech,ROTARY DRAW LATCH,140039,Parts,1,,,,,
