Model,Description,UPC Code,Ship Box Length (in),Ship Box Width (in),Ship Box Height (in),Ship Package Weight (lbs),Ship Box Length (cm),Ship Box Width (cm),Ship Box Height (cm),Ship Package Weight (kg)
NS03TT,"3"" EasyClean Nail Spotter",873876002818,6,4,4,1.8,16,11,11,0.82
76TT,EasyClean Loading Pump,873876002108,23.5,7.5,6.5,9.6,60,20,17,4.354486752
76TT-CA,EasyClean Loading Pump -Canada,873876002832,23.5,7.5,6.5,9.6,60,20,17,4.354486752
8000TT,Wizard Compact Finisher Box Handle,873876002153,10,8,6,1.3,25,20,15,0.6
8000TT-PA,Wizard Compact Finisher Box Handle for Power Assist Boxes,873876002160,10,8,6,1.3,25,20,15,0.6
8034TT,"34"" Finishing Box Handle",873876000623,37,5.75,3,2.3,94,15,8,1.043262451
8042TT,"42"" Finishing Box Handle",873876000630,44.5,5.75,3,2.5,114,15,8,1.133980925
8054TT,"54"" Finishing Box Handle",873876000647,56,5.75,3,2.9,143,15,8,1.315417873
8072TT,"72"" Finishing Box Handle",873876000654,74,5.75,3,3.4,188,15,8,1.542214058
8134TT,"34"" EasyFinish Finishing Box Handle",873876000692,37,5.5,3,2.2,94,14,8,0.997903214
8142TT,"42"" EasyFinish Finishing Box Handle",873876000685,44.5,5.5,3,2.5,114,14,8,1.133980925
8154TT,"54"" EasyFinish Finishing Box Handle",873876000678,56,5.5,3,2.8,143,14,8,1.270058636
8172TT,"72"" EasyFinish Finishing Box Handle",873876000661,74,5.5,3,3.4,188,14,8,1.542214058
85T,"Gooseneck (fits 72TT, 76TT pump)",873876000715,17.5,6,3,1.75,45,16,8,0.7937866475
88TTE,XTender Finishing Box Handle,873876000739,5.75,3,44,3.7,15,8,112,1.678291769
88TTA,Corner Applicator Extension Handle,873876001835,44,2.5,3,2.2,112,7,8,0.997903214
88TTF,Corner Finisher Extension Handle,873876001842,38.5,2.5,1.75,2.15,98,7,5,0.9752235955
88TTN,Nail Spotter Extension Handle,873876001866,38,2.5,1.75,2,97,7,5,0.90718474
88TTR,Corner Roller Extension Handle,873876001859,37,2.5,1.75,1.95,94,7,5,0.8845051215
90T,"Filler Adapter (fits 72TT, 76TT pump)",873876000708,6,4,4,0.75,16,11,11,0.3401942775
HN,Fiberglass Handle - Nail Spotter,873876000746,37,1,1,1.2,94,3,3,0.544310844
HR,Fiberglass Handle - Corner Roller,873876000753,48.5,1,1,1.2,124,3,3,0.544310844
HA,Fiberglass Handle - Corner Applicator,873876000760,45,1,1,1.2,115,3,3,0.544310844
HF,Fiberglass Handle - Corner Finisher,873876000777,49,1,1,1.2,125,3,3,0.544310844
TTCTAP,Taping Tools Case,873876002085,54,21,6,19,137,53,16,8.6
TTCFIN,Finishing Tools Case,873876002092,54,21,6,19,137,53,16,8.6
CF25TT,"2.5"" Corner Flusher",873876002207,6.25,4.25,4.5,0.5,16,11,12,0.02
CF30TT,"3"" Corner Flusher",873876002214,6.25,4.25,4.5,0.5,16,11,12,0.02
CF35TT,"3.5"" Corner Flusher",873876002221,7.25,4.25,4.5,0.5,19,11,12,0.02
CF40TT,"4"" Corner Flusher",873876002238,7.25,4.25,4.5,0.6,19,11,12,0.02
CT24TT,"24"" Compound Tube",873876002245,32.25,4.25,4.25,2.4,82,11,11,1.088621688
CT36TT,"36"" Compound Tube",873876002252,48.25,4.25,4.25,3.1,124,11,11,1.406136347
CT42TT,"42"" Compound Tube",873876002269,50.25,5.25,5.25,3.6,128,13,13,1.632932532
CH55TT,Cove Applicator Head - 55 mm,873876002740,6,4.25,4.5,0.6,15,11,11,0.272155422
CH75TT,Cove Applicator Head - 75 mm,873876002757,6,4.25,4.5,0.7,15,11,11,0.317514659
CH83TT,Cove Applicator Head - 83mm,873876002764,6,4.25,4.5,0.75,15,11,11,0.3401942775
CH90TT,Cove Applicator Head - 90 mm,873876002771,6,4.25,4.5,0.8,15,11,11,0.362873896
QB06-QSX,QuickBox QSX Finishing Box,873876002535,9,6.5,8.5,1.95,23,17,22,0.8845051215
FHTT,Interchangeable Fiberglass Support Handle,873876002726,45.5,2.25,2.25,3.3,115.57,5.715,5.715,1.496854821
XHTT,Interchangeable Extendable Support Handle,873876002733,45.5,2.25,2.25,3.3,115.57,5.715,5.715,1.496854821
CAA-TT,Corner Applicator Adapter for FHTT/XHTT Support Handles,873876002696,6,4.25,4.5,0.7,15,11,11,0.317514659
CFA-TT,Corner Finisher Adapter for FHTT/XHTT Support Handles,873876002719,6,4.25,4.5,0.7,15,11,11,0.317514659
NSA-TT,Nail Spotter Adapter for FHTT/XHTT Support Handles,873876002702,6,4.25,4.5,0.7,15,11,11,0.317514659
GSR-TT,Gooseneck Riser for 76TT-CA,873876002849,,,,,0,0,0,0
BX07TT,"7"" Premium Wipe Down Knife",873876002443,11.75,6.38,2.88,0.5,29.845,16.2052,7.3152,0.226795
BX10TT,"10"" Premium Wipe Down Knife",873876002474,12,6.38,2.88,0.65,30.48,16.2052,7.3152,0.2948335
BX14TT,"14"" Premium Wipe Down Knife",873876002450,15.75,6.38,2.88,0.95,40.005,16.2052,7.3152,0.4309105
BX18TT,"18"" Premium Finishing Knife",873876002481,19.75,6.38,2.88,1.2,50.165,16.2052,7.3152,0.544308
BX24TT,"24"" Premium Finishing Knife",873876002498,26.15,6.63,3.13,1.65,66.421,16.8402,7.9502,0.7484235
BX32TT,"32"" Premium Finishing Knife",873876002504,34,6.63,3.13,2.25,86.36,16.8402,7.9502,1.0205775
BX40TT,"40"" Premium Finishing Knife",873876002511,42,6.63,3.13,2.75,106.68,16.8402,7.9502,1.2473725
BX48TT,"48"" Premium Finishing Knife",873876002528,50,6.63,3.13,3.5,127,16.8402,7.9502,1.587565
BXEH40TT,"Premium Knife Extension Handle (40"" - 80"")",873876002467,43,6,1.75,1.6,109.22,15.24,4.445,0.725744
058707,TapeTech Bazooka Oil,873876002597,2,2,5.5,0.4,5,5,14,0.181436948
200,Gooser Assembly Replacement Kit,873876000999,6.5,4.5,0.5,0.1,17,12,2,0.045359237
215,Drive Dog Assembly Replacement Kit,873876001002,6,4.5,0.5,0.05,16,12,2,0.0226796185
335,Piston Assembly Replacement Kit,873876001019,7.5,4.5,3,0.2,20,12,8,0.090718474
340,Cutter Chain Assembly Replacement Kit,873876001026,9,4.5,1,0.15,23,12,3,0.0680388555
501A,Taper Wear Parts Kit,873876000791,7,4.5,0.5,0.05,18,12,2,0.0226796185
