sku,type,parent_sku,gallery_position,filename,url,mapping_reason
PTAPER,simple,,5,columbia_tools_ptaper_05.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ptaper_05.webp,optimized_append
ICA2-1,variation,COL-BILLET-MUD-APPLICATOR,1,columbia_tools_ica21_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ica21_01.webp,wc_export_order_preserved
ICA2-1,variation,COL-BILLET-MUD-APPLICATOR,2,columbia_tools_ica21_02.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ica21_02.webp,optimized_append
ICA4-1,variation,COL-BILLET-MUD-APPLICATOR,1,columbia_tools_ica41_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ica41_01.webp,wc_export_order_preserved
ICA4-1,variation,COL-BILLET-MUD-APPLICATOR,2,columbia_tools_ica41_02.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ica41_02.webp,optimized_append
ICATW,variation,COL-BILLET-MUD-APPLICATOR,1,columbia_tools_icatw_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_icatw_01.webp,wc_export_order_preserved
ICATW,variation,COL-BILLET-MUD-APPLICATOR,2,columbia_tools_icatw_02.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_icatw_02.webp,optimized_append
CEXT90,variation,COL-BILLET-MUD-APPLICATOR,1,columbia_tools_cext90_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_cext90_01.webp,wc_export_order_preserved
CEXT90,variation,COL-BILLET-MUD-APPLICATOR,2,columbia_tools_cext90_02.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_cext90_02.webp,optimized_append
CFLT,variation,COL-BILLET-MUD-APPLICATOR,1,columbia_tools_cflt_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_cflt_01.webp,wc_export_order_preserved
CFLT,variation,COL-BILLET-MUD-APPLICATOR,2,columbia_tools_cflt_02.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_cflt_02.webp,optimized_append
COL-BOX-FILLER,variable,,1,columbia_tools_bf_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_bf_01.webp,wc_export_order_preserved
COL-BOX-FILLER,variable,,2,columbia_tools_tbbf_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_tbbf_01.webp,wc_export_order_preserved
